Country Name,Country Code,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,SP.POP.1564.TO.ZS,SP.POP.0014.TO.ZS,SP.POP.65UP.TO.ZS,SP.POP.TOTL.FE.ZS,SP.POP.TOTL.MA.ZS,SP.POP.TOTL,SI.POV.GAPS,SI.POV.UMIC.GP,SH.IMM.MEAS,SH.IMM.IDPT,SG.GEN.PARL.ZS,EN.ATM.CO2E.PC,EN.ATM.METH.KT.CE,EN.ATM.GHGT.KT.CE,SH.H2O.SMDW.ZS,SH.H2O.SMDW.UR.ZS,SH.H2O.BASW.RU.ZS
Namibia,NAM,10583748541.525812,4252.041720143527,59.7637176197964,36.2036368194422,4.03264556076137,51.7230739810164,48.2769260189836,2489098,NA,NA,90,93,43.2692307692308,1.588045147278251,5335.779671,13560.37867,NA,NA,73.3870852887646
Nauru,NRU,124685688.1610939,10124.700622094511,58.9118960617134,38.9687373122209,2.11936662606577,49.1270807957775,50.8810393828664,12315,NA,NA,98,95,10.5263157894737,3.361753958587089,4.291393,47.328063,NA,NA,NA
Nepal,NPL,33433659223.63493,1139.1898920394106,63.8443194660466,30.1158819096396,6.03979862431386,52.3642315533193,47.6357718539951,29348627,NA,NA,87,84,32.7272727272727,0.5093662473546038,23643.67208,45868.55644,17.7071179880758,24.805471743413,90.9477910746854
Netherlands,NLD,909793466661.4811,52162.570115040624,64.7526786957455,15.6002582801428,19.6470630241117,50.3174872754151,49.6825127245849,17441500,0,0.1,94,94,33.3333333333333,7.471553478771895,15200.5766,155912.4883,99.9702576817895,NA,100
New Caledonia,NCL,9454629467.914082,34877.63563491988,66.888614993558,22.7323037817341,10.3790812247078,50.1590416301505,49.8406092114957,271080,NA,NA,NA,NA,NA,NA,NA,NA,96.6382003261782,NA,NA
New Zealand,NZL,212569779569.51938,41760.59478400051,65.3534232993459,19.0681692154534,15.5784074852007,50.4487829108621,49.5512368475596,5090200,NA,NA,91,92,48.3333333333333,6.160799182743311,32241.937,80158.02583,99.1042880185472,NA,100
Nicaragua,NIC,12678162403.59288,1876.6073782367666,64.5395121934612,30.4021280376524,5.0583597688863,50.7193791496167,49.2806208503833,6755895,NA,NA,97,92,47.2527472527472,0.6782521042733789,9584.807309,18448.51145,55.5159170451418,67.3047578434431,59.1074466319594
Niger,NER,13744653102.99452,564.8416623175235,48.6159355083704,48.9484525711188,2.43561192051078,49.2785686514048,50.7214313485953,24333639,NA,NA,79,81,16.9590643274854,0.09032557769103092,28579.35341,44795.82741,NA,NA,39.6259274095367
Nigeria,NGA,432198898221.9667,2074.6137466742152,53.4955822386776,43.5018845540314,3.00253320729103,49.4818389352087,50.5181610647913,208327405,NA,NA,60,62,7.22222222222222,0.5375101753895509,151059.7744,322336.5011,27.853490832428,35.2161923278737,60.3535830134069
North Macedonia,MKD,12363580534.68112,5965.450231953645,69.2936738523541,16.1207708976224,14.5855552500235,50.1255760106713,49.87437662003,2072531,NA,NA,63,84,39.1666666666667,3.2794201872010595,2369.77411,9768.859944,80.3805030592556,84.6236462139475,97.46871456989
Northern Mariana Islands,MNP,858000000,17302.922136850386,69.0419771510391,22.1451403103667,8.81288253859417,46.2943916752375,53.7056083247625,49587,NA,NA,NA,NA,NA,NA,NA,NA,90.6391752577319,NA,NA
Norway,NOR,367633418886.62726,68340.01810337017,65.0589078966861,17.2111656129486,17.7299264903652,49.5687696230315,50.4312303769685,5379475,NA,NA,97,97,41.4201183431953,6.725080049633097,4342.761259,46116.8172,98.9316806552341,NA,100
